platform,keyword,video_id,title,channel,published_at,creator_type,topics,views,likes,comments_count
youtube,smart fan,z34Sc3gbkWI,Tired of pulling chains to control your fan?  Upgrade to smart!,The Life of the Zigs,2025-07-11T20:45:02Z,independent_creator,smart_features,12936,111,5
youtube,smart fan,Mi47WrYB5mc,Best Smart fan For Home #shorts #youtubeshorts | Atomberg Aris Contour Smart 1200mm BLDC Ceiling Fan,Shailendra Khare,2025-03-26T15:30:15Z,independent_creator,energy_saving;smart_features,492888,4177,41
youtube,smart fan,wz0s6kUy5E4,I made my old fan smart - WiFi control high voltage devices with ESP32,Adrian Slabu,2025-10-23T19:08:20Z,independent_creator,smart_features,37427,2743,239
youtube,smart fan,3tfd_RVWtFE,8 Blades BLDC Fan | Kühl Platin D8 Review 😊,Sumit Jaiswal - PRONIX,2023-06-08T14:27:12Z,independent_creator,energy_saving;noise_silent;smart_features,734811,6169,83
youtube,smart fan,RP3lTwigRb0,Atomberg Studio Nexus 1200mm BLDC Ceiling Fan with & Remote Control 5-star New Blade Design #sorts,Aj lights,2025-10-21T09:55:24Z,independent_creator,energy_saving;noise_silent;smart_features,5129,37,7
youtube,smart fan,JajqT3dcTMQ,I Tested Smart Fan ft. Polycab Wizzy Neo With LED BLDC Ceiling Fan,Technico Himanshu,2025-05-05T20:40:42Z,independent_creator,energy_saving;noise_silent;smart_features,26477,209,46
youtube,smart fan,w-duNH8Jiew,Atomberg Renesa Prime Ceiling Fan With Remote Control Review 💫 BLDC Motor Fan,Everything Unbox Junction,2025-05-13T03:17:13Z,independent_creator,energy_saving;noise_silent;smart_features,198034,869,0
youtube,smart fan,geCm5sV93QI,Best ceiling Fan | BLDC Fan,Brand Investigation,2025-08-19T13:33:29Z,independent_creator,energy_saving;smart_features,85415,351,4
youtube,smart fan,kYQAEnBlvb4,Orient Aerosense BLDC | Smart and Silent Fan | Premium BLDC Ceiling Fan,OrientElectric,2025-06-16T12:05:07Z,brand_competitor,energy_saving;noise_silent;smart_features,23466,186,4
youtube,smart fan,YFkEL1qENJo,Atomberg Studio Smart+ BLDC Fan,Buying Guide Telugu,2024-05-07T10:47:59Z,independent_creator,energy_saving;smart_features,152250,5208,0
youtube,smart fan,-j7uxC8Yg94,Smart Fan #fan #atomberg #wifi #air #shorts #short #homedecor #home #homeappliances #smart #gadgets,Breakless Unboxing,2024-10-07T15:15:13Z,independent_creator,smart_features,10081,50,0
youtube,smart fan,eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,2024-09-15T08:00:02Z,independent_creator,smart_features,609097,2943,38
youtube,smart fan,9hw0-MuoIMc,Xiaomi Mi Smart Standing Fan 2 - Is this the best value fan?,UNFILTERD,2025-07-15T12:26:52Z,independent_creator,smart_features;price_value,15718,169,18
youtube,smart fan,UhdpN73HxcU,"Low profile, compact ceiling fan review! Perfect fan for a room with bunk beds, bathroom, kitchen",East Coast DIY,2023-06-08T04:16:06Z,independent_creator,,282333,5172,141
youtube,smart fan,2LKrXt6L07Q,India's first 800 Cr. smart fan brand.  #businessideas #atombergfan,Ankul Rajpurohit,2025-09-10T14:15:01Z,independent_creator,smart_features,9122556,194954,550
youtube,bldc fan,wOvKxWUW-yc,Best BLDC Fan Under ₹2500 😳 Best BLDC Ceiling Fan in 2025 India 🔥Best Ceiling Fan ✅,iGadz Unique,2025-02-24T13:50:18Z,independent_creator,energy_saving,667543,9619,182
youtube,bldc fan,SwRKYEhK8dI,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,Gadgets Munch,2025-04-10T08:51:16Z,independent_creator,energy_saving;smart_features,589615,3022,117
youtube,bldc fan,geCm5sV93QI,Best ceiling Fan | BLDC Fan,Brand Investigation,2025-08-19T13:33:29Z,independent_creator,energy_saving;smart_features,85415,351,4
youtube,bldc fan,nVPNjae59-s,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Utpad Unbox,2023-03-23T06:16:22Z,independent_creator,energy_saving;smart_features,2901463,24571,201
youtube,bldc fan,k5ff7kky9fQ,How to Convert Crompton Parkinson Ceiling Fan to BLDC Fan 🤩#ceilingfan #kipasmurah,Electro Demolish,2025-03-15T13:57:36Z,independent_creator,energy_saving,8607036,32338,124
youtube,bldc fan,TES_KUo50Bo,BLDC fan unit consumption for 24 hours..,Engineering Facts,2024-09-27T13:22:56Z,independent_creator,energy_saving,3814477,137538,523
youtube,bldc fan,a1nD84Z_rps,"""BLDC Fan Working Principle | Brushless DC Motor""",Digital Smart Idea,2025-07-11T04:58:55Z,independent_creator,energy_saving,364380,1340,13
youtube,bldc fan,3tfd_RVWtFE,8 Blades BLDC Fan | Kühl Platin D8 Review 😊,Sumit Jaiswal - PRONIX,2023-06-08T14:27:12Z,independent_creator,energy_saving;noise_silent;smart_features,734811,6169,83
youtube,bldc fan,nXMqjajagEE,"India’s First BLDC Fan SuperFan | Energy Efficient, Durable & Proudly Indian 🇮🇳 – Buy SuperFan! #fyp",Electro Demolish,2025-07-10T07:51:10Z,independent_creator,energy_saving;smart_features,1867682,7733,104
youtube,bldc fan,QAYhWY270MM,Watch Before you Buy A New Best BLDC Fan in 2024,SumitYPF,2024-01-25T08:40:08Z,independent_creator,energy_saving;noise_silent;smart_features;price_value,162050,1450,17
youtube,bldc fan,QlmUYtn21Qk,polycab BLDC ceiling fan quick installation #bldcfan #ceilingfan,MPmallick,2025-04-17T06:11:20Z,independent_creator,energy_saving;smart_features,326121,0,0
youtube,bldc fan,3UjLYCW8UM4,BLDC வாங்குறது worth-ஆ?,Buying Facts,2025-06-28T13:06:45Z,independent_creator,energy_saving,2132652,91390,601
youtube,bldc fan,19J80oQzFwQ,BLDC ceiling fan 🔌 connection #ceilingfan #bldcfan #wiring #diy,MPmallick,2025-04-22T04:49:06Z,independent_creator,energy_saving,745363,0,0
youtube,bldc fan,3A_VA_LzwkY,bldc motor driver | #bldcfan #bldcqsmotor #fans #trending #shorts #youtubeshorts #shortsfeed,Head Power India,2025-06-22T04:56:17Z,independent_creator,energy_saving;smart_features,334654,1808,6
youtube,bldc fan,9KDnZMuZzkg,BLDC fan comparison 🔥🔥 #shortsindia #bldcfan,imrankerofficial,2024-09-19T07:08:06Z,independent_creator,energy_saving,1108729,19978,140
youtube,bldc fan,bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Lovepreet Singh,2025-05-11T08:30:15Z,independent_creator,energy_saving;noise_silent;smart_features,514537,4100,31
youtube,bldc fan,w4jLWRNjXpo,BLDC VS Normal Fan,Hacker Om,2025-08-06T14:51:25Z,independent_creator,energy_saving,1067681,42775,332
youtube,bldc fan,VIeK7Bq-hnM,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,SumitYPF,2025-06-10T05:00:29Z,independent_creator,energy_saving;noise_silent;smart_features;price_value,71966,343,53
youtube,bldc fan,xNyEhNhfpO4,"AC, DC, Bldc Conversion Kit For Old Ceiling Fan, #bldckit #bldckitinstall #shorts",Call The Technician,2025-03-14T15:30:32Z,independent_creator,energy_saving;smart_features;price_value,35320,293,12
youtube,bldc fan,oAijlH6RNOY,இனிமேல் Havells தான் 😍 - Best BLDC fan for Home | Havells epic signia BLDC+ ceiling fan review,Independent scientist,2025-05-29T10:20:51Z,independent_creator,energy_saving;smart_features,727017,15901,188
youtube,bldc fan,bKDxVC7uzzE,Vera Level Fan😍! - Best Fan for your house! - Havells Signia BLDC Fan Review!,Geekytamizha,2025-03-29T13:55:32Z,independent_creator,energy_saving,102919,1362,17
youtube,bldc fan,Nxa4OO5LDJo,Top 3 Best BLDC Fans in India 2025 | Best BLDC Fans in India 2025,EMM VLOGS,2025-02-28T14:00:32Z,independent_creator,energy_saving;smart_features;price_value,142957,2485,29
youtube,bldc fan,fnZD2ieawLU,USHA BLDC Fan 2025 Review | Best BLDC Fan in 2025,EMM VLOGS,2025-07-24T07:00:40Z,independent_creator,energy_saving;noise_silent;smart_features;price_value,72804,1006,24
youtube,bldc fan,b5X123KBFWA,Orient 1200 Mm 3 Balde Ceiling Fan ✅ Best 5 Star BLDC Fan 💥Must Buy #ceilingfan #orient #bldcfan,Unikk Nazz,2025-06-10T13:30:34Z,independent_creator,energy_saving,134557,539,8
youtube,bldc fan,NTIUFCG9psE,Superfan bldc DC 12v ceiling fan,Jp Network,2023-09-14T17:23:14Z,independent_creator,energy_saving,186364,906,18
youtube,bldc fan,Bqkc4gPQU8c,"BLDC Fan Conversion Kit, Convert your old fan to BLDC and save Electricity.   Whatsapp- 9083128367",Soumik Electricals,2025-06-23T11:20:51Z,independent_creator,energy_saving;smart_features,77836,584,57
youtube,bldc fan,cCRaHwVao-s,Havells Inveno Lx bldc ceiling fan running test #bldcfan #shorts,brighthomeshow ,2025-07-09T17:12:38Z,independent_creator,energy_saving,133316,757,7
youtube,bldc fan,1psFaXIi-VM,What is difference between bldc and normal fan #shorts,RAVI INSTITUTE ,2024-10-27T18:40:24Z,independent_creator,energy_saving,165625,1579,11
youtube,bldc fan,OD9WsjbiyC4,"Bldc Fan PCB Circuit Board with Remote, RF system BLDC Board. Contact Soumik Electricals 9083128367.",Soumik Electricals,2025-03-21T06:18:50Z,independent_creator,energy_saving;smart_features,99219,802,133
youtube,bldc fan,pPY3GITdB9s,New Bldc Ceiling Fan 👍 #sadimkhan #shorts @mariakhan.03 @mukeem03,Sadim Khan,2024-09-23T04:30:29Z,independent_creator,energy_saving,7193846,250022,435
youtube,smart ceiling fan,auGsGYXFisg,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Utpad Unbox,2024-08-14T03:25:52Z,independent_creator,smart_features,1365528,5683,33
youtube,smart ceiling fan,UrqtSzhDE0M,#atomberg Studio Smart+ 1200mm BLDC Ceiling Fan with IoT & Remote #shorts #shortsfeed #ceilingfan,ZFR 07,2024-08-04T12:48:26Z,independent_creator,energy_saving;smart_features,234243,1707,21
youtube,smart ceiling fan,M51FK8wEg0k,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Amazing Technique Gyan,2024-04-02T13:44:17Z,independent_creator,energy_saving;smart_features,3102407,15914,108
youtube,smart ceiling fan,eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,2024-09-15T08:00:02Z,independent_creator,smart_features,609097,2943,38
youtube,smart ceiling fan,u_kxhHjHln0,Atomberg Renesa 1400mm,AMARDEEP Toor,2022-05-04T17:45:33Z,independent_creator,,3622160,32621,399
youtube,smart ceiling fan,X2Y8LZcbmEY,Ok Google - Atomberg Renesa Smart+ BLDC Ceiling fan | Alexa + Remote 🫶,Siva Bharani Udaya Selvan,2024-05-02T13:04:14Z,independent_creator,energy_saving;smart_features,95971,2455,95
youtube,smart ceiling fan,g3uJjG1zxd0,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Quirk Art for Home by Stuti,2024-07-26T04:32:41Z,retailer,smart_features,1749656,6160,35
youtube,smart ceiling fan,EORIkYyM5KQ,Smart Ceiling Fan 🤔 #fansound​ #fan​ #shortvideo​ #shorts​ #viralvideo​,Asad vlog,2025-08-15T16:20:47Z,independent_creator,smart_features,310069,857,0
youtube,smart ceiling fan,x-hGuT5Gny0,Save upto 50% Electricity with this smart ceiling Aerosense BLDC Pro fan,Mr Techpedia,2025-04-03T13:01:33Z,independent_creator,energy_saving;smart_features,125553,3968,66
youtube,smart ceiling fan,PG05pZ6S8w0,Make Your Ceiling Fans Smart: The Ultimate Guide!,Shane Whatley,2023-11-05T15:00:27Z,independent_creator,smart_features,87203,1247,143
youtube,smart ceiling fan,3wkfkBYNnzU,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Smart Home ,2025-04-27T07:50:39Z,independent_creator,energy_saving;smart_features;price_value,375418,0,43
youtube,smart ceiling fan,gFT688pEDYk,Atomberg BLDC Ceiling fan With remote 3in1 Led light Smart fan  #remotefan  #atombergfan #ceilingfan,Lighting Adda,2025-06-04T05:00:59Z,independent_creator,energy_saving;smart_features,36953,155,0
youtube,smart ceiling fan,VOrnBVxSDvQ,Smart Ceiling Fan 🤔 #fansound #fan #shortvideo #shorts #viralvideo,Triangle Gamer,2024-11-07T05:04:06Z,independent_creator,smart_features,4080040,13240,32
youtube,smart ceiling fan,MQES_LprVeY,Ceiling Fan with Lights & Remote – Stylish & Functional Home Upgrade!,QC Store,2025-03-29T16:00:24Z,independent_creator,energy_saving;noise_silent;smart_features,3649691,14376,152
youtube,smart ceiling fan,k28Lo3hELmQ,[NEW 2025]🔥Best BLDC Ceiling Fan In India 2025🔥Best BLDC Ceiling Fan Under ₹2500 - ₹3000,TechRx Home,2025-08-31T04:30:34Z,independent_creator,energy_saving;noise_silent;smart_features;price_value,70721,413,61
youtube,smart ceiling fan,UKXZNoN4WR8,"Lumary Smart Ceiling Fan Review & Installation | RGB, Bladeless & Quiet!",Gadgets & Gravel,2025-10-03T12:01:01Z,independent_creator,noise_silent;smart_features,2420,21,6
youtube,smart ceiling fan,sszo5Hbdjoo,Atomberg BLDC Ceiling Fan | Sabse smart fan india ka | smart ceiling fan review #Shorts #DIY Part-1,kawaljeet kaur,2025-06-09T12:31:00Z,independent_creator,energy_saving;smart_features,16483,149,2
youtube,smart ceiling fan,F9tpb7e9tks,Atomberg Efficio Alpha 🔥#shorts #cellingfan #atombergfan #atombergefficioalpha #bestcellingfan,Neerazz Tech,2025-05-07T10:30:54Z,independent_creator,,156539,578,3
youtube,smart ceiling fan,JKlaemmqy8w,7 Best Smart Ceiling Fan 2025! Upgrade Your Home,Tool Junkie,2025-06-14T13:00:38Z,independent_creator,energy_saving;smart_features,2855,19,0
youtube,smart ceiling fan,VIeK7Bq-hnM,Best BLDC Ceiling Fan in India 2025 | Best BLDC Fan Under 4000,SumitYPF,2025-06-10T05:00:29Z,independent_creator,energy_saving;noise_silent;smart_features;price_value,71966,343,53
youtube,smart ceiling fan,B2EbLgiL2m4,LG Smart Ceiling Fans - Convenience at Its Best,LG India,2019-09-03T08:36:38Z,independent_creator,smart_features,2720372,23127,794
youtube,smart ceiling fan,25yl1fvHMTY,13 Amazon Gadgets Smart Homeowners Swear By,Gadget Evolution,2025-12-07T15:15:00Z,retailer,energy_saving;smart_features,335,26,1
youtube,smart ceiling fan,29v8RvNi_Fc,Lumary C1 Smart Ceiling Fan with RGB Lights - How to Install a Low Profile Ceiling Fan,TheRenderQ,2025-05-31T10:00:03Z,independent_creator,smart_features,2387,36,5
youtube,smart ceiling fan,kBFM66QEs6w,Expert Picks TOP 5 Smart Ceiling Fans for 2025 Revealed,Tech Gadget,2025-07-04T18:27:36Z,independent_creator,energy_saving;smart_features,834,9,1
youtube,smart ceiling fan,sCtdJJ1c1s0,SMART FAN OPTIONS TO BREEZE INTO THE FUTURE,The Brad Lloyd,2024-03-24T16:00:41Z,independent_creator,smart_features,21666,380,38
youtube,smart ceiling fan,UjrbAesViOk,CHANFOK Low-Profile Smart Ceiling Fan/Light - Unboxing & First Impressions,Need Want Buy,2023-04-25T09:50:28Z,independent_creator,smart_features,6824,27,2
youtube,smart ceiling fan,YG75g6duhNQ,2024 New Bladeless Fan Light2024 new bladeless fan light #interiordesign #lampfactory, aleadhomelightings,2024-04-23T02:09:43Z,independent_creator,,387171,2723,42
youtube,smart ceiling fan,V7rdJUn4ugc,Bladeless Ceiling Fan with LED Lights,Upgrade,2023-01-17T19:41:13Z,independent_creator,,73320,795,48
youtube,smart ceiling fan,xDFgeMVPqG8,These Smart Fans Just Got Smarter with Matter Compatibility!,Shane Whatley,2024-11-05T17:59:48Z,independent_creator,smart_features,4589,89,3
youtube,smart ceiling fan,UhdpN73HxcU,"Low profile, compact ceiling fan review! Perfect fan for a room with bunk beds, bathroom, kitchen",East Coast DIY,2023-06-08T04:16:06Z,independent_creator,,282332,5172,141
youtube,energy saving fan,9KDnZMuZzkg,BLDC fan comparison 🔥🔥 #shortsindia #bldcfan,imrankerofficial,2024-09-19T07:08:06Z,independent_creator,energy_saving,1108729,19978,140
youtube,energy saving fan,wOvKxWUW-yc,Best BLDC Fan Under ₹2500 😳 Best BLDC Ceiling Fan in 2025 India 🔥Best Ceiling Fan ✅,iGadz Unique,2025-02-24T13:50:18Z,independent_creator,energy_saving,667543,9619,182
youtube,energy saving fan,TES_KUo50Bo,BLDC fan unit consumption for 24 hours..,Engineering Facts,2024-09-27T13:22:56Z,independent_creator,energy_saving,3814477,137538,523
youtube,energy saving fan,SwRKYEhK8dI,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,Gadgets Munch,2025-04-10T08:51:16Z,independent_creator,energy_saving;smart_features,589615,3022,117
youtube,energy saving fan,3UjLYCW8UM4,BLDC வாங்குறது worth-ஆ?,Buying Facts,2025-06-28T13:06:45Z,independent_creator,energy_saving,2132652,91390,601
youtube,energy saving fan,7pkUdOoQlP4,Crazy Experiment!! Fan Rotate Without Electricity,CIVET MOUNT,2025-05-04T12:00:20Z,independent_creator,energy_saving,13693162,220029,3602
youtube,energy saving fan,vp5mqP-BaBQ,Normal Fan vs BLDC Fan | Detailed Comparison ⚡️ 2023 ⚡️ English,SimpleGhar Hindi,2022-04-14T14:15:10Z,independent_creator,energy_saving,67828,1017,75
youtube,energy saving fan,w0t45ddl3kA,BLDC Fan = The most power saving fan #Atombergbldcfan #bestbldcfan #bpdcfanmotor #bldcceilingfan,TechnicaL KishoR,2025-05-04T05:40:48Z,independent_creator,energy_saving;smart_features,1222,15,0
youtube,energy saving fan,_yP04qs5W_M,"3 in 1 Air Humidifier Cooling USB Fan Fast Cooling, Colorful Lights, and Energy Saving",Smile E Store,2023-06-29T17:11:43Z,independent_creator,energy_saving;noise_silent,293270,1697,62
youtube,energy saving fan,jjpXf1QdrkE,Build a No-Electricity Cardboard Fan – Stay Cool and Save Energy! #diy #shorts,STEM PLUS Shop,2024-09-16T13:30:25Z,independent_creator,energy_saving,1722625,19222,0
youtube,energy saving fan,u_kxhHjHln0,Atomberg Renesa 1400mm,AMARDEEP Toor,2022-05-04T17:45:33Z,independent_creator,,3622160,32621,399
youtube,energy saving fan,CuhCDNq7gpY,BLDC Fan vs Normal Fan 💡 | Real Electricity Cost Comparison & Savings Explained (2025),idea____Man,2025-07-04T07:33:30Z,independent_creator,energy_saving;smart_features;price_value,29863,722,16
youtube,energy saving fan,XKKrQ48aosU,அதிக காசு குடுத்து ஏன் BLDC Fan வாங்கனும்? Mano's Try Tamil Vlog #Shorts,Mano's Try,2023-06-22T04:59:45Z,independent_creator,energy_saving,2765200,60247,343
youtube,energy saving fan,oAijlH6RNOY,இனிமேல் Havells தான் 😍 - Best BLDC fan for Home | Havells epic signia BLDC+ ceiling fan review,Independent scientist,2025-05-29T10:20:51Z,independent_creator,energy_saving;smart_features,727037,15901,188
youtube,energy saving fan,upoKJyGV3rw,BLDC Fan Vs Normal Fan 🔥 Why Choose BLDC Fans? 🔥 #shorts #viral #india,Khojdeal,2024-03-07T07:30:27Z,independent_creator,energy_saving,134836,2534,58
youtube,energy saving fan,DWoJ5W4u8yU,Best BLDC Fan in budget 🤯,Tech Wire,2025-05-29T15:30:07Z,independent_creator,energy_saving;price_value,81360,947,12
youtube,energy saving fan,bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Lovepreet Singh,2025-05-11T08:30:15Z,independent_creator,energy_saving;noise_silent;smart_features,514537,4100,31
youtube,energy saving fan,VfXqw_owyOg,This Pocket Fan Is Stronger Than My Ceiling Fan,Kyle Krueger,2025-08-09T22:11:38Z,independent_creator,,3145091,91435,2363
youtube,energy saving fan,x-hGuT5Gny0,Save upto 50% Electricity with this smart ceiling Aerosense BLDC Pro fan,Mr Techpedia,2025-04-03T13:01:33Z,independent_creator,energy_saving;smart_features,125553,3968,66
youtube,energy saving fan,evgJoyRlshQ,Best BLDC Fans Under 3000 #shorts #youtubeshorts  | Atomberg Ikano Vs Havells Efficiencia Neo,Shailendra Khare,2024-09-08T15:30:23Z,independent_creator,energy_saving;smart_features,180526,2329,16
youtube,energy saving fan,7YI0MHBdUpQ,Energy Saving Ceiling Fans,Cyber Electric Mall Larkana,2022-03-06T09:11:29Z,independent_creator,energy_saving,270,1,1
youtube,energy saving fan,rX7lkKdowbU,🌀 Best BLDC Ceiling Fan in India 2024 | Atomberg vs Havells vs Crompton vs Orient - Top Picks!,Brand Investigation,2024-02-28T14:30:19Z,independent_creator,energy_saving;smart_features;price_value,306016,2589,118
youtube,energy saving fan,bNx1_FD_WAo,Best Ceiling Fan 2025 In India | Best Fan For Home | Best Ceiling Fan | Fan Konsa Lena Chahiye,Elec Techy,2025-07-04T00:45:03Z,independent_creator,energy_saving,262689,1374,4
youtube,energy saving fan,mR1dKTLDGA4,Inverter Fans in Pakistan: Asal Haqeeqat?,Ahmed Kamal - AKE,2025-05-22T17:23:28Z,independent_creator,energy_saving,12050,0,8
youtube,energy saving fan,dunp92Exhqg,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control..,AJAY light Experiment ,2024-08-23T16:26:54Z,independent_creator,energy_saving;smart_features,354240,2469,39
youtube,energy saving fan,wzIiW826nTo,Best Fan 2025 Polar Winsteel Energy Saving Fan High Speed #bestceilingfan #highspeedfan #polarfan,MDS Technical ,2025-05-08T19:12:03Z,independent_creator,energy_saving,1236,9,0
youtube,energy saving fan,mLoVEdMWJxI,Crompton Energy-Saving Fans | #IppuduAndariBudgetlo | Telugu,Crompton Greaves Consumer Electricals,2023-05-09T06:51:02Z,brand_competitor,energy_saving;price_value,195959,3,1
youtube,energy saving fan,YBRt-Dw5Cco,Best Energy-Saving Fan in Pakistan? 🇵🇰 | Tamoor Executive Eco-Smart,Tamoor Fans,2025-08-09T11:00:57Z,independent_creator,energy_saving;noise_silent;smart_features,333,3,1
youtube,energy saving fan,4VXObnFiYsU,What is a whole house fan and how does it work? #diy #homeimprovement #energysaving #shorts,"QC Manufacturing, Inc. - Maker of the QuietCool",2024-05-24T15:31:27Z,independent_creator,energy_saving,178723,3866,356
youtube,energy saving fan,VqtKcwpscHg,This Fan takes less power than a LED. Atomberg Renesa BLDC table Fan,AR Smart Reviews,2025-06-04T11:35:18Z,independent_creator,energy_saving,155015,3044,52
